date,tipo_de_cambio,tasa_interes,inflacion
2016-04-01,2,2,17
2016-04-01,2,2,4
2016-04-01,2,2,2
2016-05-01,2,2,2
2016-06-01,2,18,18
2016-06-01,2,18,4
2016-06-01,2,18,2
2016-06-01,2,4,18
2016-06-01,2,4,4
2016-06-01,2,4,2
2016-06-01,2,2,18
2016-06-01,2,2,4
2016-06-01,2,2,2
2016-07-01,2,18,18
2016-07-01,2,18,4
2016-07-01,2,18,2
2016-07-01,2,4,18
2016-07-01,2,4,4
2016-07-01,2,4,2
2016-07-01,2,2,18
2016-07-01,2,2,4
2016-07-01,2,2,2
2016-08-01,2,18,18
2016-08-01,2,18,4
2016-08-01,2,18,2
2016-08-01,2,4,18
2016-08-01,2,4,4
2016-08-01,2,4,2
2016-08-01,2,2,18
2016-08-01,2,2,4
2016-08-01,2,2,2
2016-09-01,2,18,18
2016-09-01,2,18,4
2016-09-01,2,18,2
2016-09-01,2,4,18
2016-09-01,2,4,4
2016-09-01,2,4,2
2016-09-01,2,2,18
2016-09-01,2,2,4
2016-09-01,2,2,2
2016-10-01,3,3,3
2016-11-01,3,19,19
2016-11-01,3,19,5
2016-11-01,3,19,3
2016-11-01,3,5,19
2016-11-01,3,5,5
2016-11-01,3,5,3
2016-11-01,3,3,19
2016-11-01,3,3,5
2016-11-01,3,3,3
2016-12-01,3,20,20
2016-12-01,3,20,5
2016-12-01,3,20,3
2016-12-01,3,5,20
2016-12-01,3,5,5
2016-12-01,3,5,3
2016-12-01,3,3,20
2016-12-01,3,3,5
2016-12-01,3,3,3
2017-01-01,4,4,4
2017-02-01,4,20,20
2017-02-01,4,20,6
2017-02-01,4,20,4
2017-02-01,4,6,20
2017-02-01,4,6,6
2017-02-01,4,6,4
2017-02-01,4,4,20
2017-02-01,4,4,6
2017-02-01,4,4,4
2017-03-01,5,19,19
2017-03-01,5,19,6
2017-03-01,5,19,5
2017-03-01,5,6,19
2017-03-01,5,6,6
2017-03-01,5,6,5
2017-03-01,5,5,19
2017-03-01,5,5,6
2017-03-01,5,5,5
2017-04-01,5,5,5
2017-05-01,6,6,6
2017-06-01,6,18,18
2017-06-01,6,18,7
2017-06-01,6,18,6
2017-06-01,6,7,18
2017-06-01,6,7,7
2017-06-01,6,7,6
2017-06-01,6,6,18
2017-06-01,6,6,7
2017-06-01,6,6,6
2017-07-01,6,6,6
2017-08-01,6,17,17
2017-08-01,6,17,7
2017-08-01,6,17,6
2017-08-01,6,7,17
2017-08-01,6,7,7
2017-08-01,6,7,6
2017-08-01,6,6,17
2017-08-01,6,6,7
2017-08-01,6,6,6
2017-09-01,6,17,17
2017-09-01,6,17,7
2017-09-01,6,17,6
2017-09-01,6,7,17
2017-09-01,6,7,7
2017-09-01,6,7,6
2017-09-01,6,6,17
2017-09-01,6,6,7
2017-09-01,6,6,6
2017-10-01,6,6,6
2017-11-01,6,19,19
2017-11-01,6,19,7
2017-11-01,6,19,6
2017-11-01,6,7,19
2017-11-01,6,7,7
2017-11-01,6,7,6
2017-11-01,6,6,19
2017-11-01,6,6,7
2017-11-01,6,6,6
2017-12-01,6,18,18
2017-12-01,6,18,7
2017-12-01,6,18,6
2017-12-01,6,7,18
2017-12-01,6,7,7
2017-12-01,6,7,6
2017-12-01,6,6,18
2017-12-01,6,6,7
2017-12-01,6,6,6
2018-01-01,5,5,5
2018-02-01,5,18,18
2018-02-01,5,18,7
2018-02-01,5,18,5
2018-02-01,5,7,18
2018-02-01,5,7,7
2018-02-01,5,7,5
2018-02-01,5,5,18
2018-02-01,5,5,7
2018-02-01,5,5,5
2018-03-01,5,18,18
2018-03-01,5,18,7
2018-03-01,5,18,5
2018-03-01,5,7,18
2018-03-01,5,7,7
2018-03-01,5,7,5
2018-03-01,5,5,18
2018-03-01,5,5,7
2018-03-01,5,5,5
2018-04-01,4,4,4
2018-05-01,4,4,4
2018-06-01,4,19,19
2018-06-01,4,19,7
2018-06-01,4,19,4
2018-06-01,4,7,19
2018-06-01,4,7,7
2018-06-01,4,7,4
2018-06-01,4,4,19
2018-06-01,4,4,7
2018-06-01,4,4,4
2018-07-01,4,4,4
2018-08-01,4,18,18
2018-08-01,4,18,8
2018-08-01,4,18,4
2018-08-01,4,8,18
2018-08-01,4,8,8
2018-08-01,4,8,4
2018-08-01,4,4,18
2018-08-01,4,4,8
2018-08-01,4,4,4
2018-09-01,5,5,5
2018-10-01,4,18,18
2018-10-01,4,18,8
2018-10-01,4,18,4
2018-10-01,4,8,18
2018-10-01,4,8,8
2018-10-01,4,8,4
2018-10-01,4,4,18
2018-10-01,4,4,8
2018-10-01,4,4,4
2018-11-01,4,20,20
2018-11-01,4,20,8
2018-11-01,4,20,4
2018-11-01,4,8,20
2018-11-01,4,8,8
2018-11-01,4,8,4
2018-11-01,4,4,20
2018-11-01,4,4,8
2018-11-01,4,4,4
2018-12-01,4,4,4
2019-01-01,4,4,4
2019-02-01,3,19,19
2019-02-01,3,19,8
2019-02-01,3,19,3
2019-02-01,3,8,19
2019-02-01,3,8,8
2019-02-01,3,8,3
2019-02-01,3,3,19
2019-02-01,3,3,8
2019-02-01,3,3,3
2019-03-01,4,19,19
2019-03-01,4,19,8
2019-03-01,4,19,4
2019-03-01,4,8,19
2019-03-01,4,8,8
2019-03-01,4,8,4
2019-03-01,4,4,19
2019-03-01,4,4,8
2019-03-01,4,4,4
2019-04-01,4,19,19
2019-04-01,4,19,8
2019-04-01,4,19,4
2019-04-01,4,8,19
2019-04-01,4,8,8
2019-04-01,4,8,4
2019-04-01,4,4,19
2019-04-01,4,4,8
2019-04-01,4,4,4
2019-05-01,4,4,4
2019-06-01,3,3,3
2019-07-01,3,19,19
2019-07-01,3,19,8
2019-07-01,3,19,3
2019-07-01,3,8,19
2019-07-01,3,8,8
2019-07-01,3,8,3
2019-07-01,3,3,19
2019-07-01,3,3,8
2019-07-01,3,3,3
2019-08-01,3,19,19
2019-08-01,3,19,8
2019-08-01,3,19,3
2019-08-01,3,8,19
2019-08-01,3,8,8
2019-08-01,3,8,3
2019-08-01,3,3,19
2019-08-01,3,3,8
2019-08-01,3,3,3
2019-09-01,3,3,3
2019-10-01,3,19,19
2019-10-01,3,19,8
2019-10-01,3,19,3
2019-10-01,3,8,19
2019-10-01,3,8,8
2019-10-01,3,8,3
2019-10-01,3,3,19
2019-10-01,3,3,8
2019-10-01,3,3,3
2019-11-01,2,19,19
2019-11-01,2,19,7
2019-11-01,2,19,2
2019-11-01,2,7,19
2019-11-01,2,7,7
2019-11-01,2,7,2
2019-11-01,2,2,19
2019-11-01,2,2,7
2019-11-01,2,2,2
2019-12-01,2,2,2
2020-01-01,3,3,3
2020-02-01,3,3,3
2020-03-01,3,3,3
2020-04-01,2,24,24
2020-04-01,2,24,6
2020-04-01,2,24,2
2020-04-01,2,6,24
2020-04-01,2,6,6
2020-04-01,2,6,2
2020-04-01,2,2,24
2020-04-01,2,2,6
2020-04-01,2,2,2
2020-05-01,2,2,2
2020-06-01,3,22,22
2020-06-01,3,22,5
2020-06-01,3,22,3
2020-06-01,3,5,22
2020-06-01,3,5,5
2020-06-01,3,5,3
2020-06-01,3,3,22
2020-06-01,3,3,5
2020-06-01,3,3,3
2020-07-01,3,22,22
2020-07-01,3,22,5
2020-07-01,3,22,3
2020-07-01,3,5,22
2020-07-01,3,5,5
2020-07-01,3,5,3
2020-07-01,3,3,22
2020-07-01,3,3,5
2020-07-01,3,3,3
2020-08-01,4,4,4
2020-09-01,4,21,21
2020-09-01,4,21,4
2020-09-01,4,21,4
2020-09-01,4,4,21
2020-09-01,4,4,4
2020-09-01,4,4,4
2020-09-01,4,4,21
2020-09-01,4,4,4
2020-09-01,4,4,4
2020-10-01,4,21,21
2020-10-01,4,21,4
2020-10-01,4,21,4
2020-10-01,4,4,21
2020-10-01,4,4,4
2020-10-01,4,4,4
2020-10-01,4,4,21
2020-10-01,4,4,4
2020-10-01,4,4,4
2020-11-01,3,3,3
2020-12-01,3,20,20
2020-12-01,3,20,4
2020-12-01,3,20,3
2020-12-01,3,4,20
2020-12-01,3,4,4
2020-12-01,3,4,3
2020-12-01,3,3,20
2020-12-01,3,3,4
2020-12-01,3,3,3
2021-01-01,3,3,3
2021-02-01,3,3,3
2021-03-01,4,20,20
2021-03-01,4,20,4
2021-03-01,4,20,4
2021-03-01,4,4,20
2021-03-01,4,4,4
2021-03-01,4,4,4
2021-03-01,4,4,20
2021-03-01,4,4,4
2021-03-01,4,4,4
2021-04-01,6,6,6
2021-05-01,5,5,5
2021-06-01,5,19,19
2021-06-01,5,19,4
2021-06-01,5,19,5
2021-06-01,5,4,19
2021-06-01,5,4,4
2021-06-01,5,4,5
2021-06-01,5,5,19
2021-06-01,5,5,4
2021-06-01,5,5,5
2021-07-01,5,20,20
2021-07-01,5,20,4
2021-07-01,5,20,5
2021-07-01,5,4,20
2021-07-01,5,4,4
2021-07-01,5,4,5
2021-07-01,5,5,20
2021-07-01,5,5,4
2021-07-01,5,5,5
2021-08-01,5,5,5
2021-09-01,6,19,19
2021-09-01,6,19,4
2021-09-01,6,19,6
2021-09-01,6,4,19
2021-09-01,6,4,4
2021-09-01,6,4,6
2021-09-01,6,6,19
2021-09-01,6,6,4
2021-09-01,6,6,6
2021-10-01,6,20,20
2021-10-01,6,20,4
2021-10-01,6,20,6
2021-10-01,6,4,20
2021-10-01,6,4,4
2021-10-01,6,4,6
2021-10-01,6,6,20
2021-10-01,6,6,4
2021-10-01,6,6,6
2021-11-01,7,20,20
2021-11-01,7,20,4
2021-11-01,7,20,7
2021-11-01,7,4,20
2021-11-01,7,4,4
2021-11-01,7,4,7
2021-11-01,7,7,20
2021-11-01,7,7,4
2021-11-01,7,7,7
2021-12-01,7,21,21
2021-12-01,7,21,5
2021-12-01,7,21,7
2021-12-01,7,5,21
2021-12-01,7,5,5
2021-12-01,7,5,7
2021-12-01,7,7,21
2021-12-01,7,7,5
2021-12-01,7,7,7
2022-01-01,7,7,7
2022-02-01,7,20,20
2022-02-01,7,20,5
2022-02-01,7,20,7
2022-02-01,7,5,20
2022-02-01,7,5,5
2022-02-01,7,5,7
2022-02-01,7,7,20
2022-02-01,7,7,5
2022-02-01,7,7,7
2022-03-01,7,20,20
2022-03-01,7,20,6
2022-03-01,7,20,7
2022-03-01,7,6,20
2022-03-01,7,6,6
2022-03-01,7,6,7
2022-03-01,7,7,20
2022-03-01,7,7,6
2022-03-01,7,7,7
2022-04-01,7,19,19
2022-04-01,7,19,6
2022-04-01,7,19,7
2022-04-01,7,6,19
2022-04-01,7,6,6
2022-04-01,7,6,7
2022-04-01,7,7,19
2022-04-01,7,7,6
2022-04-01,7,7,7
2022-05-01,7,7,7
2022-06-01,7,19,19
2022-06-01,7,19,7
